Film Title,Clip Title, Clip ID,Frame Number,Image Name,Close-up code I
Blackmail,Knife,1413,1458,trainset/CU/1413_001458.jpg,CUT
Blackmail,Knife,1413,1776,trainset/CU/1413_001776.jpg,CUT
The Texas Chain Saw Massacre,Safe Haven,1023,2787,trainset/CU/1023_002787.jpg,CUZ
The Texas Chain Saw Massacre,Safe Haven,1023,2951,trainset/CU/1023_002951.jpg,CUZ
The Texas Chain Saw Massacre,Safe Haven,1023,4845,trainset/CU/1023_004845.jpg,CUZ
The Texas Chain Saw Massacre,Safe Haven,1023,5088,trainset/CU/1023_005088.jpg,CUZ
The Texas Chain Saw Massacre,Safe Haven,1023,5890,trainset/CU/1023_005890.jpg,CUZ
The Texas Chain Saw Massacre,Safe Haven,1023,6600,trainset/CU/1023_006600.jpg,CUZ
The Texas Chain Saw Massacre,Safe Haven,1023,6744,trainset/CU/1023_006744.jpg,CUZ
The Texas Chain Saw Massacre,Safe Haven,1023,6775,trainset/CU/1023_006775.jpg,CUZ
The Texas Chain Saw Massacre,Safe Haven,1023,6954,trainset/CU/1023_006954.jpg,CUZ
The Texas Chain Saw Massacre,Safe Haven,1023,7331,trainset/CU/1023_007331.jpg,CUZ
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,3119,trainset/CU/1344_003119.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,3873,trainset/CU/1344_003873.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,4063,trainset/CU/1344_004063.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,4305,trainset/CU/1344_004305.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,4658,trainset/CU/1344_004658.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,4690,trainset/CU/1344_004690.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,4822,trainset/CU/1344_004822.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,4891,trainset/CU/1344_004891.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,4895,trainset/CU/1344_004895.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,5039,trainset/CU/1344_005039.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,5223,trainset/CU/1344_005223.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,5295,trainset/CU/1344_005295.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,5375,trainset/CU/1344_005375.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,5627,trainset/CU/1344_005627.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,5771,trainset/CU/1344_005771.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,6027,trainset/CU/1344_006027.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,6079,trainset/CU/1344_006079.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,6180,trainset/CU/1344_006180.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,8409,trainset/CU/1344_008409.jpg,CU
Moonrise Kingdom,A Day at Mile 3.25 Tidal Inlet,1344,8472,trainset/CU/1344_008472.jpg,CU
Way Down East,A Fake Proposal,1402,1103,trainset/CU/1402_001103.jpg,CU
Way Down East,A Fake Proposal,1402,1992,trainset/CU/1402_001992.jpg,CU
Way Down East,A Fake Proposal,1402,2546,trainset/CU/1402_002546.jpg,CU
Way Down East,A Fake Proposal,1402,3552,trainset/CU/1402_003552.jpg,CU
Way Down East,A Fake Proposal,1402,3830,trainset/CU/1402_003830.jpg,CU
Broken Blossoms,A Friendship,1429,2137,trainset/CU/1429_002137.jpg,CU
Broken Blossoms,A Friendship,1429,3495,trainset/CU/1429_003495.jpg,CU
Broken Blossoms,A Friendship,1429,3807,trainset/CU/1429_003807.jpg,CU
Broken Blossoms,A Friendship,1429,4227,trainset/CU/1429_004227.jpg,CU
Broken Blossoms,A Friendship,1429,4414,trainset/CU/1429_004414.jpg,CU
Broken Blossoms,A Friendship,1429,4729,trainset/CU/1429_004729.jpg,CU
The Seas Beneath,A New Mission,1421,167,trainset/CU/1421_000167.jpg,CUTRAN
The Seas Beneath,A New Mission,1421,395,trainset/CU/1421_000395.jpg,CUTRAN
The Seas Beneath,A New Mission,1421,486,trainset/CU/1421_000486.jpg,CUTRAN
The Seas Beneath,A New Mission,1421,617,trainset/CU/1421_000617.jpg,CUTRAN
The Seas Beneath,A New Mission,1421,930,trainset/CU/1421_000930.jpg,CUTRAN
Carrie,A Pretty Girl,1152,564,trainset/CU/1152_000564.jpg,CU
Carrie,A Pretty Girl,1152,909,trainset/CU/1152_000909.jpg,CU
Carrie,A Pretty Girl,1152,1014,trainset/CU/1152_001014.jpg,CU
Carrie,A Pretty Girl,1152,1229,trainset/CU/1152_001229.jpg,CU
Carrie,A Pretty Girl,1152,1269,trainset/CU/1152_001269.jpg,CU
Carrie,A Pretty Girl,1152,1526,trainset/CU/1152_001526.jpg,CU
Carrie,A Pretty Girl,1152,3221,trainset/CU/1152_003221.jpg,CU
The Diving Bell and the Butterfly,A Visit to Papinou,938,21,trainset/CU/938_000021.jpg,CU
The Diving Bell and the Butterfly,A Visit to Papinou,938,6268,trainset/CU/938_006268.jpg,CU
The Diving Bell and the Butterfly,A Visit to Papinou,938,6729,trainset/CU/938_006729.jpg,CU
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,108,trainset/CU/1387_000108.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,1311,trainset/CU/1387_001311.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,2060,trainset/CU/1387_002060.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,3436,trainset/CU/1387_003436.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,3540,trainset/CU/1387_003540.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,4096,trainset/CU/1387_004096.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,5301,trainset/CU/1387_005301.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,5389,trainset/CU/1387_005389.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,5422,trainset/CU/1387_005422.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,6265,trainset/CU/1387_006265.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,6479,trainset/CU/1387_006479.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,6657,trainset/CU/1387_006657.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,7870,trainset/CU/1387_007870.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,8614,trainset/CU/1387_008614.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,8716,trainset/CU/1387_008716.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,8956,trainset/CU/1387_008956.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,9892,trainset/CU/1387_009892.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,10555,trainset/CU/1387_010555.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,10641,trainset/CU/1387_010641.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,10919,trainset/CU/1387_010919.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,11038,trainset/CU/1387_011038.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,11167,trainset/CU/1387_011167.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,11323,trainset/CU/1387_011323.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,11560,trainset/CU/1387_011560.jpg,CUT
Mulholland Drive,Adam and Camilla's Engagement Announcement,1387,11627,trainset/CU/1387_011627.jpg,CUT
